"Language","ISO_code","Phoible_code","Meaning","Form","Trill","Dataset","Latitude","Longitude","Family","Branch","Area","Continent","Rough.M","rough","R_type","r","l","revision"
"Jingpho","kac","kac","smooth","ra","no","CLICS",25.461826,97.329866,"Sino-Tibetan","Nungish","Southeast Asia","S/SE Asia",-6.9,FALSE,"no trill",TRUE,FALSE,"NA"
"Jingpho","kac","kac","smooth","pri","no","CLICS",25.461826,97.329866,"Sino-Tibetan","Nungish","Southeast Asia","S/SE Asia",-6.9,FALSE,"no trill",TRUE,FALSE,"NA"
"Lotha","njh","njh","smooth","phyephyeto","yes","CLICS",26.1,94.2667,"Sino-Tibetan","Brahmaputran (Sal)","Southeast Asia","S/SE Asia",-6.9,FALSE,"trill",FALSE,FALSE,"trilled"
"Lotha","njh","njh","smooth","myana","yes","CLICS",26.1,94.2667,"Sino-Tibetan","Brahmaputran (Sal)","Southeast Asia","S/SE Asia",-6.9,FALSE,"trill",FALSE,FALSE,"trilled"
"Lushai","lus","lus","smooth","dam","no","CLICS",22.60535,92.629457,"Sino-Tibetan","Kukish (Mizo-Kuki-Chin)","Southeast Asia","S/SE Asia",-6.9,FALSE,"no trill",FALSE,FALSE,"other"
"Lushai","lus","lus","smooth","zal","no","CLICS",22.60535,92.629457,"Sino-Tibetan","Kukish (Mizo-Kuki-Chin)","Southeast Asia","S/SE Asia",-6.9,FALSE,"no trill",FALSE,TRUE,"other"
"Maring","mbw",NA,"smooth","ana","yes","CLICS",24.05,94.0333,"Chimbu-Wahgi","Jimi","Interior New Guinea","NG and Oceania",-6.9,FALSE,"trill",FALSE,FALSE,"ERROR"
"Manipuri","mni","mni","smooth","nalba","yes","CLICS",24.44,93.34,"Sino-Tibetan",NA,"Southeast Asia","S/SE Asia",-6.9,FALSE,"trill",FALSE,TRUE,"OUT"
"Mikir","mjw","mjw","smooth","nei","yes","CLICS",25.735084,93.050494,"Sino-Tibetan",NA,"Indic","S/SE Asia",-6.9,FALSE,"trill",FALSE,FALSE,"trilled"
"Mikir","mjw","mjw","smooth","peklam","yes","CLICS",25.735084,93.050494,"Sino-Tibetan",NA,"Indic","S/SE Asia",-6.9,FALSE,"trill",FALSE,TRUE,"trilled"
"Sangtam","nsa",NA,"smooth","se'se'","no","CLICS",25.0667,94.8667,"Sino-Tibetan",NA,"Southeast Asia","S/SE Asia",-6.9,FALSE,"no trill",FALSE,FALSE,"other"
