	Language	ISO_code	Phoible_code	R_type	revision	Phonology
235	Chuvash	chv	chv	trill	trilled	sonorant; trill; initial; restriction; gemination; palatalization; contrast
236	Sakha	sah	sah	trill	trilled	trill; flap; position
237	Kalmyk	xal	NA	trill	trilled	trembling; trill; initial; restriction; uvular
238	Buryat	bua	NA	trill	trilled	trill; devoising; position; initial; restriction; palatalization
239	Evenki	evn	NA	trill	trilled	trill; position; initial; restriction; sonant; trembling; alternation; assimilation; metathesis
240	Manchu	mnc	mnc	trill	other	flap; variation
241	Nanai	gld	gld	trill	trilled	trill; position; initial; restriction
242	Northern Yukaghir	ykg	ykg	trill	trilled	roll; trill; vibrant; alternation; variation; retroflex; epenthetic; dissimilation
243	Southern Yukaghir	yux	yux	trill	trilled	roll; initial; restriction
244	Itelmen	itl	itl	trill	trilled	trembling; position; sonant; palatalization
245	Hokkaido Ainu	ain	ain	no trill	other	liquid; flap; position; tap; trill; assimilation; dissimilation
246	Japanese	jpn	jpn	no trill	other	flap; initial; restriction
247	Kannada	kan	kan	no trill	trilled	tap; trill; position; gemination; flap
248	Burushaski	bsk	bsk	no trill	other	initial; restriction; variation; contrast; continuant; approximant; vibrant; retroflex; liquid; position; rhotic; roll
249	Adyghe	ady	NA	trill	trilled	NA
250	Abui	abz	NA	trill	trilled	contrast; trill; roll
251	Blagar	beu	NA	trill	trilled	trill
252	Kamang	woi	woi	trill	trilled	trill; flap; tap; alternation; contrast; initial; restriction; prothetic; position; variation
253	Wersing	kvw	NA	trill	trilled	trill; contrast; position; initial; restriction
254	Kaera	jka	NA	trill	NA	liquid; contrast
255	Western Pantar	lev	NA	trill	trilled	liquid; position; initial; prothetic
256	Adang	adn	adn	trill	trilled	trill; contrast; position; trill; initial
257	Klon	kyo	NA	trill	trilled	rhotic; trill; contrast
258	Khumi	cnk	NA	trill	trilled	position; trill; aspiration; approximant
259	Anong	nun	NA	no trill	other	semivowel; fricative; retroflex; elision
260	Kaman [Miju]	mxj	mxj	trill	other	flap; approximant; retroflex; rhotic
261	Tsangla (Motuo)	tsj	tsj	no trill	other	flap
262	Pumi (Taoba)	pmi	NA	no trill	other	approximant; rhotic; trill; contrast; devoising; liquid; tap; alternation; variation
263	rGyalrong	jya	jya	no trill	other	sonant; contrast; position
264	Xumi	sxg	NA	no trill	other	approximant; position; prothetic; syllabic; assimilation
265	Atsi [Zaiwa]	atb	atb	no trill	other	position; syllabic; retroflex; fricative; alternation; variation
266	'Are'are (1)	alu	NA	no trill	other	tap; contrast; hardening
267	Anuta	aud	NA	no trill	NA	NA
268	Arosi (1)	aia	NA	no trill	other	flap
269	Blablanga	blp	NA	trill	trilled	trill; contrast; rhotic; tap; position; variation
270	Hoava	hoa	hoa	trill	trilled	trill; liquid; stress
271	Kia	kji	NA	trill	NA	NA
272	Kokota	kkk	kkk	no trill	other	sonorant; rhotic; tap; approximant; devoising; assimilation; labialization
273	Kwara'ae	kwf	NA	no trill	other	flap; liquid; contrast; apocope; syncope; metathesis
274	Lau North	llu	NA	trill	NA	trill; rhotic; tap
275	Lavukaleve	lvk	lvk	trill	trilled	liquid; alternation; trill; position; tap; continuant; contrast; variation
276	Lengo	lgr	NA	trill	NA	NA
277	Mbilua	blb	blb	trill	trilled	trill; contrast
278	Mono	mte	NA	trill	other	alternation; tap; hardening; position; assimilation; initial
279	Nggela	nlg	NA	trill	NA	NA
280	Oroha	ora	NA	no trill	other	NA
281	Poleo	tlr	NA	no trill	other	tap
282	Santa Ana	stn	NA	trill	other	vibrant; flap
283	Savosavo	svs	svs	trill	trilled	flap; trill; variation; tap; contrast
284	Tataba	mrn	NA	trill	trilled	trill; devoising; contrast; tap; position; flap; liquid
285	To'ambaita	mlu	NA	trill	trilled	trill; metathesis
286	Swahili	swa	swh	trill	trilled	variation; sonant; trill; tap; flap; contrast; position; alternation; variation; uvular; roll; liquid
287	Iraqw	irk	irk	no trill	trilled	trill; liquid; initial; restriction; elision; lenition
288	Tarifiyt Berber	rif	rif	trill	OUT	trill; position; syllabic; tap; gemination; prothetic
289	Archi	aqc	aqc	no trill	trilled	sonorant; position; dissimilation; assimilation; trill
290	Manange	nmm	nmm	no trill	other	tap; initial; retroflex; fricative; devoising; approximant; contrast; sonorant
291	Malagasy	mlg	plt	trill	trilled	retroflex; trill; flap; variation; tap; position; fricative; uvular
292	Yaqui	yaq	yaq	no trill	other	flap; liquid; prothetic; contrast; elision
293	Zinacantán Tzotzil	tzo	tzo	trill	other	rhotic; restriction; flap; variation
294	Otomi	ote	ote	no trill	other	flap; trill; vibrant
295	Kali'na	car	car	no trill	other	liquid; tap; flap; lateral; palatalization
296	Bunak, Bobonaro	bfn	NA	trill	trilled	liquid; trill; contrast; position; variation; rhotic; alternation; dissimilation; initial
297	Dela	row	NA	trill	trilled	variation; vibrant; trembling; position
298	Dhao	nfa	NA	trill	trilled	trill; contrast
299	Ende	end	NA	trill	OUT	flap; trill; approximant; contrast; variation; rhotic
300	Fataluku	ddg	NA	trill	trilled	trill; contrast; tap; liquid; position; vibrant; hardening
301	Kabola, Monbang	klz	NA	trill	trilled	trill; contrast; position
302	Kedang, Leubatang	ksx	NA	trill	trilled	vibrant; getar; contrast
303	Keo, Udiworowatu	xxk	xxk	trill	NA	rhotic; contrast
304	Kotos Amarasi	aaz	NA	trill	trilled	trill; tap; prothetic; initial; variation
305	Adonara Lamaholot	slp	NA	trill	trilled	trill; liquid; contrast; alternation; variation; gemination
306	Central Lembata, Kalikasa	lvu	NA	trill	trilled	trill
307	Lio	ljl	NA	trill	trilled	trill; contrast; rhotic; variation; tap; continuant; epenthetic
308	Makasae	mkz	NA	no trill	trilled	vibrant; tap; trill; alternation; flap; position
309	Ngadha	nxg	nxg	no trill	trilled	tap; trill; emphatic; rhotic
310	Sawila	tpg; swt	NA	trill	trilled	trill; contrast; initial; restriction; contrast; position
311	Hawu, Seba	hvn	NA	trill	trilled	trill; flap; liquid; contrast; elision
312	Tetun, Suai	tdt	NA	trill	trilled	trill; flap; tap; alternation; variation; position; tapped
313	Wetan	lex	NA	trill	trilled	trill; epenthetic; syllabic; flap; position; contrast; gemination
314	Kalamang	kgv	NA	trill	trilled	trill; tap; position; alternation; contrast; lenition
315	Dadu'a	ilu	NA	trill	trilled	trill; position; flap
316	Kambera	xbr	xbr	trill	NA	rhotic; liquid
317	Batuley	bay	NA	trill	trilled	trill; liquid; contrast; position
318	South Mambae, Letefoho	mgm	NA	trill	trilled	vibrant; trill; tap; position; contrast; elision
319	Muna	mnb	mnb	trill	trilled	trill; contrast; variation
320	Tukang Besi, Binongko	bhq	NA	trill	trilled	trill; position; neutralization; sonorant; tap; contrast; retroflex; approximant
321	Hatam	had	NA	no trill	other	liquid; flap; lateral; variation; position; contrast
322	Meyah	mej	NA	trill	NA	liquid; variation; lateral; approximant; position; contrast
323	Wolio	wlo	NA	trill	trilled	contrast; trill; uvular
324	Buru	mhs	NA	trill	trilled	trill; flap; tap; position
325	Dobel	kvo	NA	trill	trilled	trill; vibrant; roll; position; contrast
326	Irarutu	irh	irh	no trill	other	flap; vibrant; prothetic; trill; alternation; devoising; tap; approximant; contrast; position; rhotic; emphatic; elision
327	Moskona	mtj	NA	no trill	other	flap; position; devoising; alternation; contrast
328	Maybrat	ayz	ayz	trill	trilled	position; trill; tap; variation; contrast; epenthetic; alternation
329	Biak	bhw	bhw	trill	trilled	trill; flap; hardening; contrast; alternation; variation
330	Alorese, Baranusa	aol	NA	trill	trilled	trill; gemination
331	Galolen	gal	NA	trill	trilled	trill; contrast
332	Lamboya	lmy	NA	trill	trilled	trill; contrast
